,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
0,株式会社ヤマダホールディングス | ヤマダライフ保険：取扱保険会社21社／正社員登用制度あり,【面談は新規だけで毎月10件以上！案件は会社が無償提供で見込客の作成も必要なし】ヤマダデンキのお客様への家計相談を通じた金融サービスの提案です,【インセンの還元率も高く、社員の半数がMDRT基準クリアを実現！】保険・金融・証券業界での営業経験者は即戦力として優遇します（FP資格不問）,★希望勤務地考慮 ★関東エリア（東京/神奈川/千葉/埼玉）の各店舗での勤務となります。 【東京】…,月給18万円〜＋インセンティブ(毎月支給) ★昨年度は月収200万円を達成する社員が毎月必ずいました。 【…,500万円～2000万円
1,株式会社ビッグモーター | 億単位の設備とクリーンな環境◆月8日以上休み／賞与年2回,《インセンがあるから月収50万円以上も可能》オイル交換などの簡単な業務から、定期点検や事故車の修理対応などをお任せします。★研修制度あり,《未経験・無資格・第二新卒歓迎◆経験者優遇》「クルマが好き！手に職つけたい！スキルを磨きたい！」方を歓迎 ★多彩な福利厚生 ★資格取得支援,《転勤なし！U・Iターン歓迎！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ 下記エリア…,"月給228,600円以上＋インセン（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決定します。 ※…",300万円～1000万円
2,株式会社ビッグモーター | マイカー通勤OK◆年収例500万円（26歳：未経験入社3年目）,《1～2時間の短距離！夜勤なし♪》クルマの引取り・納車などの配送や運搬をお任せします。★1日に2～3件対応します。,《必要なのは普通免許のみ！》 ＼未経験・第二新卒歓迎！ブランク・転職回数・学歴など不問♪／ ★20～40代が活躍中！,★転勤なし ★全国募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪ ★勤務地は…,月給27万8600円〜40万円 ＋ 賞与年2回 ＋ 諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手…,300万円～700万円
3,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【地道な作業が好きな方は打ってつけのお仕事！】ものづくり工場にて、製品の箱づめ・在庫確認・納品チェック等の業務を担当★4月入社歓迎,【男性多数活躍中】「地道な作業が好き」「作業をすると自分の世界に入って時間を忘れてしまう」そんな方はぜひご応募を！★学歴・経験不問,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ <勤務地一覧> ■北海道 ■東北・北陸…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
4,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,【100%反響スタイル＆ノルマなし】ご来店されたお客さまに「欲しいクルマ」を伺い、約5万台の在庫からピッタリなクルマをご提案する仕事です。,【未経験歓迎／男女ともに活躍中！クルマに詳しくなくてもOK】◆40歳以下★プライベートも大切にしたい方★好きな街で働きたい方★収入UPしたい方,【全国約300店舗/転勤なし/マイカー通勤OK】 勤務地は希望を最大限考慮します 北海道（北海道）…,月給22万8600円〜70万円(一律手当含む)＋インセンティブ＋賞与年2回+諸手当 ※年齢・能力を考慮のうえ、…,330万円～1500万円
5,株式会社ビルドイット | 設計からの請負い案件100％で高収入可 ★残業全社月平均10h以下,【土日祝休み／夜勤・シフト勤務は一切なし！】希望や適性に応じて、インフラ・開発・協力企業開拓の営業いずれかをお任せ！★製品選定もできます！,【20～30代活躍中／資格・学歴不問】◎エンジニアの実務経験（年数不問）もしくはSES営業経験がある方 ★中途入社者が100% ★女性エンジニア活躍中,《転居を伴う転勤なし》 ◆本社 港区芝大門1-10-11芝大門センタービル10F 〜アクセス〜 ・…,月給30万円〜50万円 ＋ 賞与年2回 ＼前職から年収の120%の増額をお約束します！／ ★経験やスキルに応じ…,400万円～675万円
6,東京エムケイ株式会社 | 【平均年収817万円】有給取得率80％超◆男性の育休/時短勤務実績,【事前予約中心 × 長距離送迎 ＝ 高収入】◆お客様はご予約の方やリピーターがメインです ◆ベンツなど、誰もが憧れる高級車に乗務！,【未経験歓迎！年齢不問】＼未経験でも研修3ヶ月計100万円の保証給／◆普通免許取得後3年以上(AT限定可) ★コロナ対策も万全！ドライバーの健康も配慮,★首都圏（東京都・神奈川県・千葉県）が担当エリア ★転勤なし 【汐留営業所】 東京都港区東新橋1-…,▼3ヶ月の保証給<合計100万円！>＋各種お祝い金有 1ヶ月目:月給30万円 2・3ヶ月目:月給35万円 4ヵ月目以…,450万円～550万円
7,株式会社タウンハウジング | 【CMも放映！今期過去最高益の見込】1都3件に101店舗展開！,【集客に追われない店舗での反響対応！】チームで協力し売上をつくるルームアドバイザー業務★業績好調！高収入＆早期昇格が可能★長期連休もあり！,【未経験・第二新卒歓迎/お客様本位の接客・営業がしたい方に最適】◎正社員・社会人デビューを目指す方も歓迎★3カ月の研修で基礎知識から習得！,【原則転居を伴う転勤なし】 首都圏101店舗の直営店（東京／神奈川／埼玉／千葉） ★お住まいから無…,"◆月給24万5,000円以上 ＋ 充実の手当 ＋ 歩合給 ※経験・年齢を考慮のうえ、当社規定により優遇いたし…",350万円～600万円
8,株式会社サニックス | ◆東証一部上場企業 ◆初任地は希望勤務地を確約／年間休日115日,【 知名度が高く、営業活動がしやすい！ 】◎総合住環境サービスの提案営業　◆固定給にプラスで歩合給と報奨金を支給　◆賞与年2回／連休が基本,＊未経験歓迎＊ 管理職経験やマネジメントスキルも不問　◎高卒以上　◎要運転免許　◆手厚い教育研修を用意　◆40代未経験で入社した人も沢山います,中京・関西・中国・四国・九州エリア ※希望勤務地を考慮し配属先を決定 中京 名古屋市 浜松市 羽島…,【1】中京・関西 月給29万1千円 【2】九州・中国・四国 月給26万6千円 ※上記に別途、歩合給、報奨金あ…,
9,株式会社ビッグモーター | ◆最高年収2282万円◆未経験歓迎◆業界No.1◆月8日以上休み,《ノルマなしの完全反響スタイル！》お客様の来店や問合せに対してクルマの販売や買取を行います。★お客様の3人に1人が契約につながっています。,《意欲重視／未経験・第二新卒歓迎》◆高卒以上　「高収入を実現したい」大歓迎です！ ★クルマに関する知識や営業経験などは一切不問！,《全国約300店舗！転勤なし！マイカー通勤OK！》 ★勤務地は希望を最大限考慮します！ ■北海道…,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…,330万円～1500万円
10,株式会社ユタカホーム | ★残業1日1H以下★転勤ナシ★定着率97％★未経験の先輩多数,【転勤＆遠方対応ナシ＆直帰もOK！】住宅リフォーム工事の管理業務を担当 ◆施工範囲は近隣エリアオンリー！★定時退社可能！17時に帰るメンバーも◎,【未経験者歓迎】★学歴・性別不問 ★飲食店店長など、他業種出身の先輩が活躍！安定性抜群の環境へジョブチェンジしませんか？【20～30代活躍中！】,★板橋駅より徒歩5分 ★転勤なし！ 【本社】 東京都北区滝野川7丁目35-10　アルス立野岡1F…,◆月給：35万円以上+インセンティブ ◎経験・スキルに応じて優遇します。 ◎案件数に応じてインセンティ…,400万円～600万円
11,クレストジャパン株式会社 | ★経験者採用・年収1000万以上目指す人、大募集★歩合率20％,《20～30代活躍中！転勤なし／不動産売買の仲介営業》営業スタイルはお任せ！仲介手数料の20%があなたの手に！4ケタ年収も十分目指せます！,★業界経験者歓迎★宅建資格のある方大歓迎（手当有）★要普免（AT限定可）★仲介営業／用地仕入れ／リノベ再販営業いずれかの経験がある方は大歓迎★,《転勤ナシ》 東京都新宿区西新宿6-12-4　コイトビル7階 【アクセス】 丸ノ内線 「西新宿駅」…,月給25万円〜30万円＋仲介手数料20％の高率歩合 ※試用期間3ヶ月あり（期間中の待遇に変更ナシ） ＜歩合…,550万円～1000万円
12,"株式会社グランレブリー | 【知名度抜群！テレビCM放映中】年収1,200万円も目指せます！",【多彩な案件に携われる！】マンションや注文住宅などの施工管理　★若手～ベテランまで幅広く活躍中 ★設計～施工・引渡しまでワンストップ体制あり,【年齢不問！何歳からのチャレンジも大歓迎】◎施工管理の実務経験をお持ちの方（年数不問）★経験に見合った好待遇でお迎えします,【転勤なし！阪急「桂」駅／「洛西口」駅からスグ】 ☆U・Iターン歓迎（社員寮あり） ☆マイカー・社…,■経験者／月給40万円以上＋諸手当＋賞与年2回 ※一級建築士資格をお持ちの場合、月給60万円〜80万円＋…,500万円～1000万円
13,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,【20代で年収1000万円の高収入を実現する社員も多数在籍中】◆一般のお客様へKDDIの高速通信サービス等をご案内します◆成約率80％以上,【実績を出せば必ず評価します！1年以内にマネージャーへの道も！】◎未経験・第二新卒の方歓迎します◎35歳までの方全員と面接します！,★転勤なし ★渋谷本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆渋谷本社…,月給25万円以上＋高率インセンティブ＋随時昇給 ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の…,500万円～1000万円
14,株式会社ヤマダホールディングス | ヤマダライフ保険：社員の半数がMDRT基準をクリアしています,《見込み客づくり=会社、家計相談=あなたの好環境＆店舗内での面談は8割以上》ヤマダデンキのお客様への家計相談・ライフプランニングを担当します。,《高率インセンティブ（80％～40％）を用意！正社員登用制度もあり！》◆高卒以上 ◆金融業界での営業経験者（FP資格不問／保険業界経験者優遇）,★希望勤務地考慮 東京/神奈川/千葉/埼玉/大阪/京都/兵庫の各店舗 【首都圏】 東京都千代田区/…,月給18万円〜＋インセンティブ(毎月支給) ★昨年度は月収200万円を達成する社員が毎月必ずいました。 【…,500万円～2000万円
15,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／今月入社も可能,完全未経験から『役職へのキャリアUP』『本社勤務』を実現できる会社！化粧品・医薬品/半導体/自動車分野におけるものづくり業務★4月入社歓迎,【学歴・経験不問】「キャリアアップしたい」「夢がある」そんな方はぜひご応募を！もちろん「安定した環境で働きたいから…」なんて志望理由もOK！,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
16,株式会社綜合キャリアオプション | グループ全体売上1000億円以上◆社員2000名超◆管理職も目指せる,【新規事業を大規模立上げ！2021年1月ローンチ】様々な企業に、採用支援サービス『Concier&TECH(コンシェル＆テック)』をご案内★営業経験を活かせる,【新サービスを共に作りたい方歓迎！自分の営業スタイルを活かせます】◆営業経験をお持ちの方は大歓迎！◆事業部長は33歳。20～30代前半男女活躍中！,◆新宿駅より地下道直結／徒歩4分 ◆西新宿コンシェル・センター 東京都新宿区西新宿1-8-1 新宿…,年俸500万円〜650万円スタート ※経験・スキル・前職の給与等を考慮の上、決定します。 ※試用期間3ヵ月…,500万円～650万円
17,株式会社一条工務店 | ★戸建注文住宅の販売棟数《業界No.1！》★木造部門は8年連続,【住宅展示場での完全反響営業・販売】ご来場いただいたお客様へ業界随一の性能・品質を誇る一条工務店の住宅をご案内。収入＆キャリアUPを狙えます！,【営業経験者優遇】★研修充実！モチベーション高く積極的に取り組める方なら、未経験でも活躍できます！　★20～30代活躍中　◇高卒以上 ◇要普免,全国約450営業拠点にて、希望地考慮。Ｕ・Ｉターンも歓迎！ ▼積極採用エリア▼ 青森県青森市／青森…,月給21万7500円〜（営業手当一律2万4500円含む）＋インセンティブ ※試用期間3ヶ月、待遇同じ ※別途諸…,450万円～800万円
18,株式会社あいらいふ | ★20～30代の社員が多数活躍中！,《万全の体制で長期キャリア形成をサポート！》 ◆施設を探すご利用者様と「新たな入居者を募集したい」と考える施設の両者を結びつけるお仕事です。,【業種未経験・第二新卒歓迎！学歴不問！】 ◆営業経験をお持ちの方 ◎完全週休2日制/有休消化率64％/産休・育休の実績有り/福利厚生充実！,【本社】東京都品川区東五反田1-21-10 東五反田I-Nビル8F 【秋葉原相談室】東京都千代田区…,月給30万円〜+インセンティブ ※上記金額にはみなし残業代8万円（45時間分）含む。時間超過分は別途支給 …,350万円～600万円
19,株式会社ビッグモーター | 業界No.1の実績＆安定性／転勤なし／残業なし／土日休み,【100％内勤です♪】クルマの修理に関する受付やデータ入力、電話対応などをお任せ！ ※難しい業務はないので事務未経験の方もご安心ください♪,【未経験／第二新卒歓迎】「事務デビューしたい」「大手企業で働きたい」方も歓迎♪☆20～30代女性活躍中！☆産・育休取得実績も多数でずっと安心！,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…,300万円～550万円
20,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,【お客さま対応はありません☆】クルマの名義変更手続き・届け出などの事務作業をお任せします。★マニュアル完備！難しい作業はありません♪,【未経験・第二新卒歓迎！】＼学歴・性別・年齢不問／ オフィスワークに興味がある方歓迎！★90％以上が未経験スタート ★既卒・社会人デビューもOK,転勤なし/全国に勤務地あり/勤務地は希望考慮/マイカー通勤OK 東北（宮城県） 関東（東京都・神奈…,"【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…",300万円～550万円
21,株式会社アミ―クス | 『トータルリペア』オーナー募集,「車のホイール」「レザー」「家具」など多様なリペアに対応。得意領域を見つけて活躍できます。★何度でも受けられる技術講習で未経験でも安心！,【”独立への挑戦”を応援】経験・年齢不問、個人事業主として働きたい方　★オーナーのほとんどが業界未経験　★技術も営業も一から学べます！,全国47都道府県の開業希望エリア ※開業をご希望されるエリアにより異なります。,完全出来高制となります。 施工原価はわずかな塗料等の材料費だけなので利益率が高いのが特徴。 例えば…,
22,株式会社花山工務店 | <大阪ガスのパートナー企業>創業59年／大阪府緊急雇用対策に賛同,【会社負担で資格取得を目指せます！】◆簡単な作業からスタート！ガスの安全を守るメンテナンスなどをお任せします ◆チーム作業の安心環境！,【未経験OK／応募者全員と面接◎気になった方はご応募ください！】★業界未経験者が多数活躍中 ★道路舗装の経験や、重機の免許があれば活かせます！,【マイカー・バイク通勤OK】 大阪府大阪市東住吉区中野1-13-29 ◎転勤なし／U・Iターン歓迎…,【経験者】月給45万円〜＋賞与 【未経験】月給30万円〜＋賞与 ※上記は最低保証金額です ※経験・年齢・…,
23,エーアイアールグループ合同募集 | ★中途採用者活躍中★平均年齢29歳★残業少なめ★週休2日制,【100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★研修制度も充実 ★クリアな評価制度 ★ノルマなし,【応募条件を満たす方は全員面接確約！】◆未経験歓迎 ◆40歳までの方 ◎学歴不問 ◎先輩の95%は未経験入社 ※複数名採用！同期と一緒に働けます！,【★積極採用中⇒池袋店/銀座店/新宿店/川崎店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分圏内…,"【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…",450万円～1000万円
24,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,【テレアポ・飛び込みナシ】お問い合わせに対応する完全反響型の戸建住宅営業。希望や適性に応じて、分譲住宅／注文住宅のいずれかをお任せします。,【未経験大歓迎】★前職・経験一切不問 ●要普免 ☆何らかの営業経験、接客・販売の経験がある方は大歓迎 ☆住宅や不動産業界の経験があれば尚可,"【全国募集】 ★千葉、茨城、東京、愛知、九州で積極採用を実施中★ [宮城県]仙台 [福島県]郡山,…",【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…,
25,株式会社ビッグモーター | 平均年収861万円 ◆ 月収200万円以上＆年収2000万円以上の実績,【ノルマ・飛込み・テレアポなし】ご来店・問い合わせのあったお客様へ中古車の販売・買取をお任せします。★入社時に知識は問いません！,【異業界未経験者も歓迎！】◆社会人経験（学歴不問）＼「営業職デビューしたい！」「クルマが好き！」「頑張りを評価されたい」そんな方歓迎！／,【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道…,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…,330万円～1500万円
26,株式会社優誠 | 【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,【専門知識は入社後に学べます！】住まいでお悩みのお客さまへ「住宅のリノベーション」を提案 ※先輩の8割超が完全未経験から一人前になりました！,【第二新卒特別特集参画中】◆学歴・経験不問 ◆社員の平均年齢26歳 ※複数名の採用を予定。ガッツリ稼ぎたい方、オフも大事にしたい方にピッタリ！,【なんばからアクセス良好！最寄り駅から徒歩3分の好立地】 ★2019年7月にオフィスを移転・拡大し…,"月給23万5,000円〜35万円＋インセンティブ＋諸手当＋賞与 ※年齢・経験・スキルを考慮の上、当社規定に…",300万円～850万円
27,株式会社ラビット・カーネットワーク | ☆東証一部上場USSグループ/充実の研修あり/TVCMでお馴染み,【未経験歓迎】【ノルマなし】各エリアのラビット店舗にて、中古車の買取・査定・販売を行います。認知度があるのでお問い合わせが多いことも魅力!!,【未経験・第二新卒大歓迎！】～人物重視の採用です～◆高卒以上 ◆要普免 ★クルマが好きな方、人と接するのが好きな方は大歓迎,【★地域密着で働けます★】 ※U・Iターン歓迎 ※入社後すぐに転居を伴う配属・異動はありません ■…,月給18万円〜30万円＋業績給＋各種手当＋賞与年2回 ※年齢・経験などに応じて上記の金額に加給優遇いた…,400万円～700万円
28,株式会社貴順 | ★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,【社員寮完備！首都圏エリアでのお仕事を積極支援！】個人宅への宅配やルート配送★軽自動車（AT車）で運ぶので安心★車両のレンタル・持ち込みOK！,【未経験大歓迎／学歴・ブランク不問】■要普免(AT可) ★これまでの経験は一切問いません！ ★社会人デビューも応援 ★正社員登用制度あり,【首都圏エリア積極採用中！】全国に勤務地候補あり ◎転勤なし ◎寮完備 ※規定あり 〈本社住所〉…,完全出来高制(1件あたり案件150円〜240円) ★月収55万円以上のスタッフ8割以上 ☆収入満足度90％以上 …,100万円～1000万円
29,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,収入が大切！という方に見てほしい案件・社宅完備の案件多数！製造工場で部品の組立/検品/梱包/在庫管理等を担当！,《履歴書・職務経歴書不要です！》未経験や社会人デビュー、ブランクのある方も大歓迎！未経験から「がっつり稼ぎたい」を応援します★,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
30,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％★残業ほぼナシ,【ITインフラ・クラウド】ネットワーク設計・運用など希望・スキルに合ったお仕事　★タイプに合ったキャリアを選べる★マルチクラウドのスキルを手に,【学歴不問】運用・ネットワーク・サーバ設計・構築いずれかの経験者★大型案件あり★第6回<ワーク・ライフ・バランス大賞>大賞受賞=家族も安心できる,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給35万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当 ▼設計構築5年以上の経験者 【月給40…,450万円～1000万円
31,株式会社ビッグモーター | 業界No.1企業／賞与年2回／年収800万円以上可能／残業少なめ,【１台修理するごとにインセンティブあり！】定期点検や車検、各種修理対応を行います。◆入社後は自動車の知識、整備の流れから教えていきます。,【職種・業界の未経験者歓迎！学歴不問】◆45歳以下の方　◎「クルマが好き」「技術を身につけたい」方歓迎！★20～40代活躍中,《転勤なし！マイカー通勤OK！》 北海道・宮城県・関東・北陸・甲信越・東海・関西・中国・四国・九州…,"月給22万8,600円〜60万円＋インセンティブ（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決…",300万円～1000万円
32,株式会社エストゥルース | 【効率的な営業スタイル】飛び込み営業・ノルマは一切ありません,【20代活躍中】◆お客様に投資用不動産(ワンルームマンション)を提案 ★1ヶ月の研修期間をはじめ、チームであなたを育てます！,【不動産の知識一切不要】◆アパレル販売やルート営業など、異業種から入社した先輩多数★未経験入社3ヶ月で月収100万円を記録した20代前半の社員も！,★転勤なし ★東京（渋谷駅徒歩10分圏内）と仙台（立ち上げメンバー：2020年10月26日開設）で…,【大卒以上】月給25万円以上＋諸手当＋インセンティブ（40万円〜100万円） 【上記以外】月給23万円以上＋…,400万円～2000万円
33,株式会社PGSホーム | 今ならマイナビからの入社で入社祝金最大138万円支給！,【平均年収550万円】◎業界でも圧倒的な商品力を誇る「自社オリジナル塗料の住宅ペイント」や「太陽光発電システム」の提案営業を担当してください。,【人生を変える“チャンス”を掴みたい方は是非ご応募を】◎未経験者“大”歓迎 ★学歴・年齢・経験は一切不問！高収入・安定生活を実現しませんか？,※新支店が続々と開設！ 《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州のいずれ…,月給25万円〜50万円＋高額歩合給(本数達成賞＋オーダー手当) ★月給40万円スタート(※)！さらに今だけ！…,400万円～1000万円
34,株式会社九州エネコ | 《年収例／3年目 880万円／3年目 738万円／6年目 1421万円》,★★ ノルマなし ★★　◎給湯設備、キッチン熱源、それに関するコストなどをヒアリング。　☆詳しい説明、商談は別に担当がいるのでご安心下さい！,★★ 社員の約90％が未経験スタートです！★★　◎学歴・年齢不問　◎要普免（AT限定可）　☆20～50代の幅広い年代が活躍中！,◆転勤なし！ ◆マイカー通勤OK（無料駐車場あり） 希望を考慮し、熊本、久留米いずれかに配属します…,"月給27万円 + 歩合給（1件あたり7〜10万円） ★年収1,000万円以上が多数在籍！ ★経験が無い方でも安心し…",400万円～750万円
35,株式会社PGSホーム | 入社祝金最大138万円支給｜残業ほぼ無し！休日出勤一切なし！,【圧倒的商品力で業界を牽引】特許取得の住宅ペイントや大手メーカーから2年連続で優秀販売店全国1位の認定を受ける太陽光発電設備などを提案します。,【未経験者“大”歓迎！これが初めての正社員・社会人という方も是非ご応募を！】◎学歴や年齢はもちろん、転職回数も一切不問！稼げる会社で活躍を！,※新支店が続々と開設！ 《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州のいずれ…,月給25万円〜50万円＋報奨金(本数達成賞＋オーダー手当) ★今だけ！入社祝金18万円＋半年間の業績に応じ…,400万円～1000万円
36,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【年間休日127～190日・無理なく働ける！】 医薬品や半導体分野における生産ラインでの組み立て、加工、箱詰、在庫確認業務などを担当。,【未経験歓迎！】「自分のペースで仕事したい」方へオススメ＜スピード選考！今月中の内定獲得を！※面接1回・私服でOK(履歴書不要)＞,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
37,株式会社ジーアフター | ◆不況知らず！売上前年比130％以上、注目の企業◆残業ほぼなし,《完全反響型》◆中古車の販売・営業・買取業務をお任せします◆未経験者90%＊充実研修と店舗全員で新人をフォロー⇒誰もが成長できる仕組み★,【入社後半年～1年で店長へスピード昇進も可能です】◆40歳迄の方※ ◆高卒以上◆要普免(AT限定可)◆経験を問わず若手の人材・店長候補を10名以上募集,千葉県・埼玉県などの店舗及び事業所 初期配属は希望を考慮します！ 全国展開へ向けて積極採用中！ 【…,月給30万円〜(経験・年齢考慮)＋インセンティブ ※上記の月給には時間外労働の有無にかかわらず、45時…,400万円～650万円
38,株式会社ライジングサンセキュリティーサービス | 【★面接保証！20～60代活躍中★未経験スタート大歓迎★】,【施設での出入管理などの警備・受付業務等をお任せします！】★資格取得を全面サポート！★社宅や寮を完備なので、通勤も楽々です♪,【シニアや育児中のスタッフも活躍中！】学歴・経験・性別・年齢も一切不問。ご応募いただいた方とは全員との面接をお約束します！,＜茨城県ひたちなか市・水戸市・つくば市・土浦市の各現場＞ ※ご希望に応じて配属現場を決定します ※…,月給24万円〜38万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…,300万円～500万円
39,DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,【反響営業だから成果を出しやすい！】お問い合わせをいただいたお客さまにアニメやスポーツといったテレビ番組のご案内。※産休育休も完備(実績あり),【学歴不問！未経験・第二新卒歓迎！】35歳までの方 ◆<先輩たちの前職も様々！>フリーターやアパレル販売員・飲食店スタッフなど幅広い方が活躍中！,【WEB面接OK/希望勤務地考慮/転勤なし】 東京都港区の本社または全国の各拠点 ◎UIターン歓迎…,月給22万円〜51万円＋インセンティブ ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 …,400万円～1000万円
40,株式会社コシダカ | 【上場グループ企業】スピード昇格可★土日休みOK★年2回5連休,【月8～10日休でバランス良好！】お客様への軽食・ドリンクの提供や店内清掃などをお任せします★4カ月目の入社後研修で同期の仲間と成長♪,【学歴・性別・経歴、一切不問！／人物重視◎】39歳以下限定★未経験・第二新卒・社会人デビューも歓迎★仕事もプライベート充実させませんか？,《転勤なし》全国の『カラオケまねきねこ』の店舗 ★マイカー可能！※エリアによる ★お住まいとご希望…,エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…,300万円～850万円
41,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,日建学院の受講生募集～卒業までのサポート業務。受講生と二人三脚で合格を目指す、やりがい溢れる仕事です ★提案先は受講生や卒業生の勤務先が中心,【未経験・第二新卒・UIターン歓迎】◆32歳以下の方◆学歴不問◇人と接するのが好きで、コツコツ地道なコミュニケーションがとれる方 ◎インセンあり,＜転勤なし＞全国にある日建学院直営校(112校)のいずれか ※希望を考慮し決定します。 【北日本地…,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…",350万円～550万円
42,株式会社PGSホーム | ＼入社祝金最大138万円支給！社員平均年収は550万円！／,【毎日ヘトヘトになって契約を獲得することは無し！】◎当社製品のご紹介や情報収集を行い、アポイントの約束をするシンプルな仕事をお任せします。,【これまでの経験や社歴、学歴、年齢は一切関係ありません！】◎誰にでもチャンスがある会社で「稼ぎたい！」という方は、是非ご応募ください！,※新支店が続々と開設！ 《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州のいずれ…,月給25万円〜50万円＋報奨金(本数達成賞＋オーダー手当) ★今だけ！入社祝金18万円＋半年間の業績に応じ…,400万円～1000万円
43,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,集客に悩みを抱える企業に対して、有名なメディアや広告への掲載を提案します！,【経歴不問！完全未経験・第二新卒も歓迎！】◆高卒以上◆30歳以下 ◆「企業の力になりたい」という方はぜひご応募ください！,★転勤なし/希望勤務地考慮/UIターン歓迎 ▼勤務地一覧 東京都渋谷区千駄ヶ谷5-27-5 東京都…,月給23万円以上 ※給与の金額は、あなたのスキルや能力を考慮した上で、決定となります。 ▼大阪・広島…,300万円～400万円
